sha256,agency_id,agency_name,document_title,date,num_violations,violations_list,query,response,violation,input_tokens,output_tokens,cost,duration_ms
0005aef67191b6a71053e81c44c2f70a7d60ce7b92d2ca666672f197d66e30dc,CB520304693,Upper Peninsula Family Solutions,Special Investigation Report #2020C0102008,"March 2, 2020",1,R 400.12404,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","Upper Peninsula Family Solutions, a child placing agency, was investigated for failing to timely assess a relative for placement. While that specific allegation was not substantiated, the investigation revealed two separate violations: a case contact from December 10, 2019, was not entered into the state system until February 17, 2020, and a required Relative Placement Safety Screen was not completed within five business days of the relative's expression of interest in August 2018. The agency bears clear culpability for these administrative failures, which represent lapses in required documentation and procedural timelines.",y,3680,127,,12493
0024a225c1d3dde399bd189e0cc2392aad5b47ba9720b1f2fd40204223f74bb1,CI460403164,LHS Family and Youth Services,Special Investigation Report #2022C0446027,"June 29, 2022",1,R 400.4126,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A physical fight between two youths (Youth A and Youth B) occurred at the Adrian Group Home on May 10, 2022, resulting in one youth sustaining bruises and a bloody nose. The investigation found the facility had insufficient staff on duty, with only two instead of the usual three, which prevented them from effectively separating the youths or using safe restraint interventions, leading to a prolonged altercation. The report places clear culpability on the facility for failing to maintain adequate staffing levels to ensure resident safety and supervision.",y,3329,114,,15883
0039c6bf571d7de8482f8bfbf6751219309429b5dbeb5c59da575951444dd35f,CI820272493,VISTA MARIA - MENTAL HEALTH,Special Investigation Report #2025SIC0000600,"Special Investigation Intake Date: April 24, 2025",1,Rule 400.4158,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A special investigation was conducted after allegations that a staff member (Staff 2) choked a youth (Youth A) during an incident where the youth was attempting to escape a wing and assault a supervisor. Interviews with staff, the youth, and a witness provided conflicting accounts, but video footage reviewed did not show Staff 2 choking the youth. The investigation concluded there was insufficient evidence to substantiate the allegation, and no violations of licensing rules were found. Based on the report's findings, culpability for the alleged choking was not established.",n,2379,127,,11385
00574906d0905de4fe6761e6bf4eb7a5fe250e57900e96425010cbc911f29418,CI410201278,MAPLE LODGE GROUP HOME,Special Investigation Report #2025SIC0000087,"Special Investigation Intake Date: November 6, 2024",1,Rule 400.4126,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A special investigation was conducted following an allegation that a male resident (Youth B) forced a female resident (Youth A) to engage in sexual touching in a common area while under staff supervision. Two staff members were present and actively supervising but were distracted by paperwork and concerns about a vape, failing to prevent or immediately notice the incident. The investigation concluded that staff were supervising as required and no substantial licensing violations were established; however, the report's analysis implicitly indicates staff failed to provide adequate protective oversight due to divided attention.",n,5525,115,,9898
0061f513cd124d0e1510e79416aabe4b5c128b4dc99d10b7a38ee25fa4e1de37,CB280200990,Holy Cross Services - Northern Michigan CB,Special Investigation Report #2025SIC0000269,"Special Investigation Intake Date: January 6, 2025",1,Rule 400.12505,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A complaint alleged that Youth A could not receive her Independent Living stipend check or contact anyone at the agency. The investigation found the youth had the worker's contact info and received the check promptly after texting, though the agency office was sometimes unstaffed. The delay was due to holidays and a check mailing issue. While the agency was found in compliance, the temporary lapse in office coverage and communication during a worker transition contributed to the youth's perceived difficulty. Ultimately, administrative process issues within the agency, rather than individual staff culpability, created the situation.",n,1470,122,,6131
00a734fd316d634b72f233c11ba20eddc6b8e352963006f87a2a299b36cddadc,CI520345626,Great Lakes Recovery Centers,Special Investigation Report #2021C0116040,"August 17, 2021",1,R 400.4109,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A youth (Youth A) gave another youth (Youth C) a hickey on his neck while both were on a residential unit at the Great Lakes Recovery Center for Youth. The investigation found that a staff member (Staff 1) left the youth unsupervised, violating the facility's line-of-sight supervision policy and allowing the prohibited interaction to occur in Youth C's bedroom. The facility's administration is culpable for the staff's failure to follow supervision policies, leading to a substantiated violation.",y,2513,111,,4110
00bc1df0d8ed15b758ea4fb9f0675f52d2c0d97d88a9beb69e15f52e32070cc9,CI370377212,New Hope Youth Center,Special Investigation Report #2025SIC0000557,"Special Investigation Intake Date: April 14, 2025",2,Rule 400.4126 Sufficiency of Staff.; Rule 400.4109 Program Statement.,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A youth was injured when another youth threw a plastic container at her face upon returning from an off-grounds trip. The investigation found that while there were enough staff present overall, the facility failed to follow its own 'line of sight' supervision policy, allowing Youth B to move unsupervised from an upstairs area to the front door to commit the assault. The report finds the facility culpable, as this was a repeat violation for failing to maintain proper supervision per its policies.",y,6498,104,,6439
00c2b2403fdd7001e91fe327fc3c376f93e6e89efc7314ec7a03050ef124c452,CB410245705,Catholic Charities West Michigan,Special Investigation Report #2020C0103040,"October 1, 2020",4,"R 400.12413; R 400.12206; R 400.12420; R
400.12418(2)","Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","The investigation found that Catholic Charities West Michigan, a child placing agency, failed to adequately monitor and document the health and case plan of a youth in its care, resulting in the youth developing significant medical issues like weight loss and pressure sores without proper follow-up. The agency's foster care worker admitted to not being aware of the youth's medical appointments and wounds, and case file reviews revealed multiple documentation failures, including outdated medical passports, missing signatures on treatment plans, and untimely entry of contacts. Culpability lies with the agency for systemic failures in supervision and oversight, as several violations were repeats indicating previous corrective actions were ineffective.",y,5461,138,,5455
00fbc257a3b08b5d8d4935c3568565c8ec91f6fbb8379c689b4cc9d35190f5ff,CI731001543,Queen of Angels,Special Investigation Report #2024SIC0001705,"Special Investigation Intake Date: August 21, 2024",5,Rule 400.4159; Rule 400.4158; Rule 400.4159; Rule 400.4159; Rule 400.4112 (4) (a): A person with ongoing duties shall,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","An investigation found that staff at Queen of Angels, a child caring institution, engaged in unsafe and prohibited physical interventions against a 12-year-old resident, including multiple pushes and an improper physical restraint, without following required de-escalation protocols or documentation procedures. The facility was found in violation of multiple rules, including a repeat violation for prohibited interventions like pushing. Primary culpability lies with the directly involved staff, particularly Staff 3, who initiated the forceful interventions and attempted to conceal the incident.",y,4806,110,,6717
00fdfbed71077510235122b3db80661578d75041081defaf73a65d8ca8f656b0,CP390201215,Michigan Department of Health and Human,Special Investigation Report #2022C0212013,"July 8, 2022",1,R 400.12206,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","An investigation substantiated that a staff member (Staff 1), a Michigan Youth Opportunities Initiative case worker at the Kalamazoo County DHHS, sent nude photographs of herself to a foster youth (Youth A) with a cognitive impairment. While an allegation about a hotel stay could not be confirmed, the sending of the explicit photos was verified through photo evidence and social media review. The staff member was placed on leave and subsequently terminated, and the facility is required to submit a corrective action plan. The primary culpability lies with the individual staff member for her grossly inappropriate and unethical conduct.",y,4317,129,,5886
010141b4052ab705742cd80a0fd3d7aff7e1e0d215001b2145092281fcdc4a98,CB410201266,SAMARITAS - WEST,Special Investigation Report #2024SIC0001271,"Special Investigation Intake Date: March 25, 2024",1,Rule 400.12503,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","An investigation was conducted into allegations that a youth's financial stipend check was wrongfully withheld by staff at an independent living placement, reportedly leaving him without money for food. The investigation found that the youth had violated program rules by testing positive for marijuana, possessing a marijuana vape, and refusing to participate in required life skills training; the agency had a policy allowing checks to be withheld for non-compliance and offered the youth alternative food resources. The investigating agency concluded no violation was established, effectively placing culpability on the youth for his own non-compliance rather than on the facility.",n,2649,126,,2000
0146c2410abd176761771d7c3b766531afc6110f17a34693aebebb1e30438d0b,CB630201423,Catholic Charities of Southeast Michigan,Special Investigation Report #2022C0420021,"July 8, 2022",1,R 400.12713,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","Catholic Charities of Southeast Michigan failed to submit finalized adoption records to the state within the required one-year timeframe, specifically citing two records from October 2020 that were over 18 months late and acknowledging a backlog of hundreds of other overdue records dating back to 2015. The violation was substantiated, and the agency was required to submit a corrective action plan. The agency bears clear responsibility for the systemic failure to comply with record retention rules, despite citing logistical uncertainties.",y,2911,107,,3330
0166fa6dc3f1f6f4c99f0e97227cccb1ac6e2dd0b116ea75faa65acf0851d6f7,CI790296492,VASSAR HOUSE,Special Investigation Report #2025SIC0000288,"Special Investigation Intake Date: January 14, 2025",2,Rule 400.4125; Rule 400.4142,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A special investigation was conducted into allegations of insufficient clothing and denial of medical care at Vassar House. The investigation found no substantial violations: clothing was available and properly fitting, though documentation delays created an appearance of neglect, and the youth with a finger injury was seen by a nurse and an urgent care, albeit after not following the facility's formal request procedure. The facility's procedures were adequate, but their documentation and policy specificity needed technical assistance, with no individual culpability assigned as the agency was found to be in overall compliance.",n,2910,116,,5787
0173b638c939a8483e9bafaa788ca2389923ff83d8df13b138773a70bd473429,CI820293953,LINCOLN CENTER,Special Investigation Report,"August 8, 2023",3,"Rule 400.4109 Program Statement; Rule 400.4112 Criminal history check, subject to; R
400.4113(i)","Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A staff member at the Lincoln Center juvenile facility gave a youth a book containing a marijuana edible, which the youth and another youth consumed, leading to adverse reactions and hospital transport. Other staff were aware of the exchange but failed to report it, violating professional boundary and reporting policies. The facility was found in violation of rules regarding program statement adherence and staff qualifications due to this misconduct and the staff's failure to perform their duties. The culpability lies primarily with Staff 4 for providing the contraband and with Staff 2 and 3 for failing to intervene or report.",y,2823,126,,2167
017b705145b5b31eadc02273ca4b60479526af4f1bc64c85baee3533a75cc786,CE821001676,Wayne County Juvenile Detention Facility,Special Investigation Report #2025SIC0000963,Special Investigation Intake Date: 08/22/2025,1,Rule 400.4126,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","The report details an investigation into allegations of staff misconduct and failure to intervene during multiple fights involving youths at the Wayne County Juvenile Detention Facility. The investigation, which included interviews and video review, concluded that staff responded appropriately and immediately to break up the altercations, and found no evidence to support claims that staff laughed, encouraged fighting, or threatened restraint. Given the contradictory witness statements and lack of corroborating evidence, the facility was found in compliance with all rules, and the specific allegations against the implicated staff were not substantiated.",n,4671,118,,4466
0193d029cf683f3132f497aa44e919c11c5abac873aac71fc0dc758328531f5d,CI330201171,"Highfields, Inc.",Special Investigation Report #2021C0103033,"October 12, 2021",0,nan,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A youth at Highfields became agitated and punched a computer monitor after a discussion about a disciplinary report. Staff intervened, leading to a physical altercation where they slipped on water, fell, and ended up restraining the youth in a prone position with a staff member lying on top of him. The investigation found the initial allegation of restraint for property destruction was not substantiated, but staff violated policy by using an unsafe prone restraint and escalating the situation. The facility is culpable for repeated failure to follow safe restraint procedures.",y,3723,122,,2286
01a86562abb2868595f3967f48edecf9cf67396862c7bdc0c2259a4e39367cb4,CI820201513,WOLVERINE CENTER,Special Investigation Report #2024C0001082SI,"March 12, 2024",9,"Rule 400.4431 Heating equipment.; Rule 400.4407 Facility and premises maintenance.; Rule 400.4158 Intervention standards and prohibitions.; Rule 400.4158 Intervention standards and prohibitions.; Rule 400.4142 Health services; policies and procedures.; Rule 400.4127 Staff to resident ratio; Rule 400.4112 Criminal history, subject to requirements; staff; Rule 400.4125 Personal possessions; money; clothing;; Rule 400.4109 Program statement","Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","The investigation into Wolverine Center substantiated three serious violations: a staff member used a prohibited martial arts chokehold on a youth during a physical altercation, the facility operated with an insufficient staff-to-resident ratio for a period, and staff repeatedly failed to follow internal policy by not writing required incident reports. Other allegations, including lack of heat, unsanitary conditions, verbal abuse, and inadequate medical care, were not substantiated. The report places clear culpability on the facility for the established violations, particularly the use of prohibited physical intervention and systemic failures in documentation and staffing.",y,8090,127,,6248
01bc5c4ed0bd8e948889c39ba7a21973fd30e130e7c0b4ab192947a2b251acfc,CI790363049,CLARENCE FISCHER CENTER,Special Investigation Report #2024SIC0001255,"Special Investigation Intake Date: March 19, 2024",1,Rule 400.4158,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A staff member at a youth facility physically restrained a youth by picking him up and slamming him to the ground during an escalating incident, causing the youth to cry out in pain and require a hospital evaluation for potential rib injuries. The investigation substantiated that this forceful intervention violated rules prohibiting physical punishment, and it was noted as a repeat violation for the facility. The facility and the staff member bear responsibility, as the action was a clear and prohibited use of excessive force, despite the youth's prior assaultive behavior.",y,4824,114,,2496
01bec58fa482adf1a1f12a325ccf9b850e980fbe0ebd27da957eedb7f271b91a,CI820201513,WOLVERINE CENTER,Special Investigation Report #2024SIC0001737,"Special Investigation Intake Date: September 5, 2024",1,Rule 400.4158,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A special investigation was conducted into allegations that Supervisor 1 at Wolverine Center physically assaulted youth, specifically Youth A and Youth B, and used blind spots on the floor to avoid detection. The investigation included interviews with staff, youth, and administrators, a review of video footage, and an examination of incident reports and personnel records. The findings concluded that Supervisor 1 was not present at the facility during the alleged incident times, no other witnesses corroborated the claims, and the youths' injuries were explained by other events (e.g., a bite from another youth). The investigator determined that no policy violations were established. Based on the report's conclusion, the facility is not held culpable for the alleged misconduct.",n,5716,152,,7022
01c84e428b5a3beb5f57e925151bbae96755eecedd39d9ecea59bf81abf09be1,CI820201487,Sisters of Good Shepherd,Special Investigation Report #2021C0207028,"October 15, 2021",2,R 400.158; R 400.4159,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A confrontation occurred at the Vista Maria Open Residential facility between a youth and staff over a chore, leading to the youth throwing a chair and staff physically intervening. The investigation did not substantiate the specific allegations of a 'push' or verbally inappropriate comments, but it did find that the facility violated policy by having a single staff member hold the youth in a manner not approved by its Crisis Prevention Institute physical management model. The facility was found culpable for failing to follow its own restraint procedures.",y,4263,113,,10661
01f8dec51b4a8320bb011ee6ec1713866944aae49b2808e0eefb59a52fc915bf,CI250201313,Whaley Children's Center,Special Investigation Report #2023C0217003,"December 27, 2022",3,R 400.4109; R 400.4127; R 400.4112,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","The report details a special investigation into the Mott Children's Residence, a facility operated by Whaley Children's Center, where two youths (Youth A and Youth B) engaged in sexual intercourse in a youth's bedroom on at least two consecutive nights. The incident occurred because the youths circumvented bedtime supervision: one youth propped open a door and the other stuffed her bed with a decoy. Staff failed to visually verify the youths were in their own beds during required 15-minute variable-interval checks, and documentation showed these checks were not performed as required. The facility is culpable for systemic supervision failures, as this was a repeat violation for not ensuring proper nighttime monitoring.",y,4962,146,,2955
02043f9d3d70a196521621518704871cc3c19c42f20f2df8238d0cec84b01cdf,CI820201294,METHODIST CHILDREN'S HOME,Special Investigation Report #2025SIC0000522,"Special Investigation Intake Date: April 2, 2025",1,Rule 400.4126 Sufficiency of Staff,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","The special investigation was initiated based on allegations that a youth was sexually abused by a peer at the Methodist Children's Home several years prior. Investigators interviewed the youth and his therapist, but the youth declined to provide key details like the name of the alleged perpetrator or any staff witnesses. Current and past staff denied any awareness of such incidents, and a review of records from the youth's stay showed no incident reports where he was listed as a victim. Ultimately, the state concluded there was insufficient evidence to establish a rule violation. Given the youth's credible assertion of an assault and the lack of substantiation due to missing details and staff unawareness, determining clear culpability is challenging, though the facility's reported staffing ratios and room arrangements appear compliant.",n,1654,159,,6700
022d298e7e95f8f2aa063c8b20c65acedb98f96303771e8b52e97bab169a313a,CE821001676,Wayne County Juvenile Detention Center,Special Investigation Report #2025SIC0000088,"Special Investigation Intake Date: November 7, 2024",2,Rule 400.4126; Rule 400.4132,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","The report investigates allegations of sexual assault and harassment by a resident (Youth B) at the Wayne County Juvenile Detention Center. While a violation for insufficient staff was not established, the investigation found the facility violated policy by failing to properly resolve a grievance; it provided Youth A with a written resolution stating the matter was resolved simply because it was forwarded to an internal investigation unit, which was insufficient. The report substantiates that staff were aware of and responded to Youth B's behavioral issues but places ultimate responsibility on facility administration for its flawed grievance procedure.",y,3561,120,,3359
02337350f46dbc82ed172939f9684c9c698ec624ad4ea21f436459cb629c3c22,CI670414130,Osceola Youth Center,Special Investigation Report #2024SIC0001468,"Special Investigation Intake Date: May 28, 2024",1,Rule 400.4109,"Please analyze this Special Investigation Report and respond with a JSON object containing exactly two fields:

1. ""summary"": A few sentences explaining what went down here, including one extra sentence weighing in on culpability.
2. ""violation"": Either ""y"" if allegations of policy/code violations were substantiated in this report, or ""n"" if they were not substantiated.

Return ONLY the JSON object, no other text. Format:
{""summary"": ""..."", ""violation"": ""y""}","A youth at Osceola Youth Center engaged in multiple acts of self-harm and expressed suicidal ideation, which were reported to staff. The investigation concluded the facility followed its protocols by assessing the youth, placing her on 5-minute observation, providing medical care, and transporting her to the hospital when risk escalated. The report finds no substantiated violations, indicating staff responded appropriately and are not deemed culpable for the incidents.",n,4092,96,,5458
